Sitting Day,Senate Link,Reps Link
30/05/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-05-30/toc_sgml/senate 1996-05-30.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-05-30/toc_sgml/reps 1996-05-30.sgm
29/05/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-05-29/toc_sgml/senate 1996-05-29.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-05-29/toc_sgml/reps 1996-05-29.sgm
28/05/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-05-28/toc_sgml/senate 1996-05-28.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-05-28/toc_sgml/reps 1996-05-28.sgm
27/05/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-05-27/toc_sgml/senate 1996-05-27.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-05-27/toc_sgml/reps 1996-05-27.sgm
23/05/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-05-23/toc_sgml/senate 1996-05-23.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-05-23/toc_sgml/reps 1996-05-23.sgm
22/05/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-05-22/toc_sgml/senate 1996-05-22.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-05-22/toc_sgml/reps 1996-05-22.sgm
21/05/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-05-21/toc_sgml/senate 1996-05-21.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-05-21/toc_sgml/reps 1996-05-21.sgm
20/05/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-05-20/toc_sgml/senate 1996-05-20.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-05-20/toc_sgml/reps 1996-05-20.sgm
9/05/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-05-09/toc_sgml/senate 1996-05-09.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-05-09/toc_sgml/reps 1996-05-09.sgm
8/05/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-05-08/toc_sgml/senate 1996-05-08.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-05-08/toc_sgml/reps 1996-05-08.sgm
7/05/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-05-07/toc_sgml/senate 1996-05-07.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-05-07/toc_sgml/reps 1996-05-07.sgm
6/05/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-05-06/toc_sgml/senate 1996-05-06.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-05-06/toc_sgml/reps 1996-05-06.sgm
2/05/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-05-02/toc_sgml/senate 1996-05-02.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-05-02/toc_sgml/reps 1996-05-02.sgm
1/05/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-05-01/toc_sgml/senate 1996-05-01.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-05-01/toc_sgml/reps 1996-05-01.sgm
